Custom fields on custom screens:
field_name,parent_table,screen_type,screen_name,label,type,width
acceptable_use,STUDENTS,customstudentscreens,Parent Permissions,Acceptable use agreement signed?,text,20
allergies,STUDENTS,customstudentscreens,Medical Summary,Severe Allergies Requiring Medication,textarea,60
Allergies_Benadryl,STUDENTS,exportformat,All Medical Conditions,,Allergies_Benadryl,0
Allergies_Drugs,STUDENTS,exportformat,All Medical Conditions,,Allergies_Drugs,0
Allergies_Epi_Pen,STUDENTS,exportformat,All Medical Conditions,,Allergies_Epi_Pen,0
Allergies_Food,STUDENTS,exportformat,All Medical Conditions,,Allergies_Food,0
Allergies_Insects,STUDENTS,exportformat,All Medical Conditions,,Allergies_Insects,0
Allergies_Other,STUDENTS,exportformat,All Medical Conditions,,Allergies_Other,0
Allergies_Severe,STUDENTS,exportformat,All Medical Conditions,,Allergies_Severe,0
Asthma,STUDENTS,exportformat,All Medical Conditions,,Asthma,0
Asthma_Inhaler,STUDENTS,exportformat,All Medical Conditions,,Asthma_Inhaler,0
Asthma_Medication,STUDENTS,exportformat,All Medical Conditions,,Asthma_Medication,0
Behavior_Issues,STUDENTS,exportformat,All Medical Conditions,,Behavior_Issues,0
Behavior_Problems,STUDENTS,exportformat,All Medical Conditions,,Behavior_Problems,0
CA_BirthPlace_City,STUDENTS,exportformat,CSIS Demographics,,CA_BirthPlace_City,0
CA_BirthPlace_Country,STUDENTS,exportformat,CSIS Demographics,,CA_BirthPlace_Country,0
CA_BirthPlace_State,STUDENTS,exportformat,CSIS Demographics,,CA_BirthPlace_State,0
CA_ClassDesig,STAFF,customteacherscreens,EEO-5 and CBEDS Information,Classified Category (19=Clerical, 23=Para, 24=Other),popup,0
CA_ClassDesig,STAFF,exportformat,CALPADS Fall 2,,CA_ClassDesig,0
CA_DateELAStatus,STUDENTS,customstudentscreens,CALPADS, RSP, 504, SST, Speech, EL Info,Date ELA Status (Our Records-Obsolete!),text,20
CA_DateELAStatus,STUDENTS,exportformat,CRDC Data,,CA_DateELAStatus,0
CA_DateOfHire,STAFF,customteacherscreens,EEO-5 and CBEDS Information,Date of Hire,text,20
CA_DateOfHire,STAFF,exportformat,CALPADS Fall 2,,CA_DateOfHire,0
CA_ELAStatus,STUDENTS,customstudentscreens,CALPADS, RSP, 504, SST, Speech, EL Info,ELA Status (Our Records-Obsolete!),text,20
CA_ELAStatus,STUDENTS,exportformat,CRDC Data,,CA_ELAStatus,0
CA_EndDate,STAFF,exportformat,CALPADS Fall 2,,CA_EndDate,0
CA_EthnicityMissing,STAFF,exportformat,CALPADS Fall 2,,CA_EthnicityMissing,0
CA_HighestDegree,STAFF,exportformat,CALPADS Fall 2,,CA_HighestDegree,0
CA_HispanicEthnicity,STAFF,exportformat,CALPADS Fall 2,,CA_HispanicEthnicity,0
CA_PAIF_District_ID,STAFF,customteacherscreens,EEO-5 and CBEDS Information,PAIF District ID (Key field),text,12
